id,imdb_id_cleaned,title,year,release_date,budget,revenue,runtime,tmdb_rating,tmdb_votes,overview,genres,imdb_rating,imdb_votes
27205,1375666,Inception,2010,2010-07-15,160000000,825532764,148,8.364,34495,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.","Action, Science Fiction, Adventure",8.8,2823340.0
157336,816692,Interstellar,2014,2014-11-05,165000000,701729206,169,8.417,32571,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,"Adventure, Drama, Science Fiction",8.7,2540420.0
155,468569,The Dark Knight,2008,2008-07-16,185000000,1004558444,152,8.512,30619,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.","Drama, Action, Crime, Thriller",9.1,3175393.0
19995,499549,Avatar,2009,2009-12-15,237000000,2923706026,162,7.573,29815,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","Action, Adventure, Fantasy, Science Fiction",7.9,1500334.0
24428,848228,The Avengers,2012,2012-04-25,220000000,1518815515,143,7.71,29166,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","Science Fiction, Action, Adventure",8.0,1560731.0
293660,1431045,Deadpool,2016,2016-02-09,58000000,783100000,108,7.606,28894,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.","Action, Adventure, Comedy",8.0,1256392.0
299536,4154756,Avengers: Infinity War,2018,2018-04-25,300000000,2052415039,149,8.255,27713,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.","Adventure, Action, Science Fiction",8.4,1376603.0
550,137523,Fight Club,1999,1999-10-15,63000000,100853753,139,8.438,27238,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",Drama,8.8,2614958.0
118340,2015381,Guardians of the Galaxy,2014,2014-07-30,170000000,772776600,121,7.906,26638,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.","Action, Science Fiction, Adventure",8.0,1366491.0
680,110912,Pulp Fiction,1994,1994-09-10,8500000,213900000,154,8.488,25893,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.","Thriller, Crime",8.8,2438897.0
13,109830,Forrest Gump,1994,1994-06-23,55000000,677387716,142,8.477,25409,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.","Comedy, Drama, Romance",8.8,2500988.0
671,241527,Harry Potter and the Philosopher's Stone,2001,2001-11-16,125000000,976475550,152,7.916,25379,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.","Adventure, Fantasy",7.7,953468.0
